"Carimbo de data/hora","Qual é o seu Curso?","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","1)      Organizei meus estudos com base no plano de ensino (programação) da(o) disciplina/tema/módulo ","2)      Mantive um relacionamento cordial com o(a) professor (a) coordenador (a) da disciplina ","3)      Mantive um relacionamento cordial com o (a) tutor (a) presencial ","4)      Mantive um relacionamento cordial com o (a) tutor (a) a distância","5)      Mantive um relacionamento cordial com o (a) coordenador (a) do polo","6)      Frequentei as atividades presenciais conforme programado","7)      Participei das atividades a distância conforme programado","8)      Compreendi os conteúdos ministrados na(o) disciplina/tema/módulo ","9)      Estive motivado/a ao longo da oferta da(o) disciplina/tema/módulo","10)      Aprofundei meus conhecimentos, de maneira autônoma, consultando outras fontes","11)      Realizei as atividades da disciplina/tema/módulo, atendendo aos prazos estabelecidos ","12)      Realizei as atividades da disciplina/tema/módulo observando os critérios estabelecidos ","13)      Dediquei horas de estudo à disciplina ao longo da semana ","14) O(A) professor(a)/coordenador(a) da(o) disciplina/tema/módulo mostrou-se disponível para me atender e orientar ","15)      O(A) professor(a)/coordenador(a) da(o) disciplina/tema/módulo me tratou com ética e respeito","16)      O(A) tutor(a) presencial mostrou-se disponível para me atender e orientar ","17)      O(A) tutor(a) presencial me tratou com ética e respeito ","18)      O(A) tutor(a) a distância mostrou-se disponível para me atender e orientar","19)      O(A) tutor(a) a distância me tratou com ética e respeito","20)      Tive acesso ao plano de ensino (programação) da(o) disciplina/tema/módulo ","21)      O plano de ensino (programação) da(o) disciplina/tema/módulo foi cumprido","22)      As atividades de tutoria realizadas contemplaram as necessidades da turma","23)      As atividades de tutoria foram executadas conforme o planejado","24)      Os conteúdos da(o) disciplina/tema/módulo foram ministrados com clareza e objetividade","25)      Os conceitos/conteúdos foram apresentados de forma contextualizada","26)      Fui estimulado a desenvolver o pensamento crítico","27)      Foram utilizados recursos diversos (vídeos, materiais complementares, webconferências, etc.) durante a oferta da(o) disciplina/tema/módulo","28) Esta disciplina contribuiu com minha formação cidadã e profissional ","29)      A interação com professores e colegas foi favorecida/estimulada","30)      O material didático fornecido para estudo da(o) disciplina/tema/módulo foi adequado","31)      O processo avaliativo da(o) disciplina/tema/módulo foi explicado aos discentes de forma clara e objetiva","32)      A avaliação da aprendizagem foi realizada com critérios bem definidos","33)      A avaliação da aprendizagem foi realizada de acordo com os conteúdos trabalhados","34)      Foram utilizados diferentes instrumentos/estratégias de avaliação (provas, seminários, produção textual, etc.)","35)      Os(As) instrumentos/estratégias de avaliação foram adequados(as), acessíveis aos discentes e os prazos/tempo foram suficientes","36)      As salas reservadas às atividades presenciais e seu mobiliário estavam em condições adequadas de uso","37)      A infraestrutura das bibliotecas atendeu adequadamente às necessidades discentes (sala de estudos, acervo, atendimento, etc.)","38)      Os recursos audiovisuais atenderam às necessidades do ensino no âmbito da(o) disciplina/tema/módulo","39)      O ambiente virtual de aprendizagem utilizado (Moodle/SIGAA) atendeu às necessidades dos discentes","40)      Os recursos de informática dos laboratórios, nos polos, atenderam às necessidades discentes","41)      O laboratório de atividades práticas estava adequado às atividades desenvolvidas","42)      As instalações físicas do polo (banheiros, espaços de convivência, espaço para alimentação, etc.) atendem às necessidades dos discentes","43) A acessibilidade nos espaços utilizados, incluindo o ambiente virtual, é adequada","Comentários Gerais (máximo 600 caracteres)","Sugestões de Melhoria (Máximo 600 caracteres)"
"2023/11/10 6:05:50 PM GMT-3","FÍSICA","","","","","","MECANICA CLASSICA I","4","4","4","3","2","3","4","4","4","3","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","2","2","4","4","4","3","4","4","3","4","4","2","3","4","2","1","4","4","","Precisamos que no laboratório tenham todo material necessário para os estudos,pois no momento não estamos conseguindo realizar as aulas práticas de laboratório devido a falta deles"
"2023/11/10 6:08:56 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","ENSINO/APRENDIZAGEM DO PORTUGUES I","","","","4","4","4","4","3","4","4","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","4","3","5","3","3","",""
"2023/11/10 6:11:45 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","ENSINO/APRENDIZAGEM DO PORTUGUES I","","","","3","3","4","4","3","4","4","3","3","4","3","4","4","2","3","3","4","4","4","4","3","3","3","2","3","4","3","3","3","3","3","3","3","3","3","3","2","3","3","2","5","3","3","No início tivemos muitas dificuldades em relação a plataforma não tivemos orientações para uso da mesma, e também com o tutor presencial passamos meses sem tutor.","Seria muito importante os professores colocarem conteúdos na plataforma e fazer um direcionamento de que realmente eles querem tem perguntas que ficamos perdidos em relação aos conteúdos. 
Outro ponto é a questão do horário exemplo: se for pra entregar atividade dia 10/11 colocam o horário 00:00 desde modo se formos entregar-lhe às 9:00 da manhã já entregamos com atraso o certo seria colocar 23:59  esses questionando são antigos e não somos atendidos."
"2023/11/10 6:19:24 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","FONETICA E FONOLOGIA","","","","3","3","4","4","3","4","4","3","3","4","3","3","4","2","3","3","4","4","4","4","2","3","2","2","3","3","3","3","3","3","2","3","3","3","2","3","2","3","3","2","2","3","3","","Os professores poderiam mas vezes ministrar aulas via meet já que não vem ao pólo "
"2023/11/10 6:24:29 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","OFICINA DE DIDATIZACAO DE GENEROS TEXTUAIS","","","","3","4","4","4","3","4","3","3","3","4","3","3","4","3","3","4","4","4","4","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","2","3","2","3","3","2","5","3","3","",""
"2023/11/10 6:30:01 PM GMT-3","FÍSICA","","","","","","FISICA MODERNA I","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","1","4","4","1","1","1","4","","Melhorar a estrutura física do pólo, laboratório que não funciona ,já estamos mais da metade do curso e podemos fazer nada no laboratório,por falta de materiais."
"2023/11/10 6:33:47 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","",""
"2023/11/10 6:34:24 PM GMT-3","FÍSICA","","","","","","FISICA COMPUTACIONAL I","4","3","4","4","2","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","1","3","4","1","1","1","4","",""
"2023/11/10 6:58:25 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","3","3","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","3","2","4","4","2","2","3","4","ESTA DISCIPLINA FOI EXCELENTE, A PROFESSORA É MUITO OBJETIVA E SUAS AULAS SUPER MOTIVADORAS. O MATERIAL DIDATICO ATENDEU AOS OBJETIVOS PROPOSTOS",""
"2023/11/10 7:06:25 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","4","4","4","3","4","4","4","4","4","3","4","4","4","4","4","4","3","2","3","4","2","3","3","4","",""
"2023/11/10 7:11:09 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","4","4","5","4","3","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","3","2","3","4","2","2","4","4","",""
"2023/11/10 7:14:11 PM GMT-3","BIBLIOTECONOMIA","","","","","SERVICO DE REFERENCIA E INFORMACAO","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","3","3","",""
"2023/11/10 7:16:52 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","3","2","2","2","2","4","4","3","3","2","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","2","2","3","3","2","2","3","3","",""
"2023/11/10 7:30:55 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","ESTUDOS TEORICO-PRATICOS DA ALFABETIZACAO EM LINGUA MATERNA III","","","","","4","3","4","2","4","4","3","3","3","4","2","3","3","3","3","5","5","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","1","3","3","1","2","4","4","",""
"2023/11/10 7:34:46 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","4","3","3","3","3","4","4","3","3","2","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","4","4","3","2","3","2","2","3","3","2","2","3","3","",""
"2023/11/10 7:53:34 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","2","3","3","3","3","2","3","3","3","3","3","3","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","4","4","3","4","5","4","4","",""
"2023/11/10 7:54:45 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","INTRODUÇÃO A LIBRAS","","","","","2","2","5","5","4","3","2","2","2","3","2","2","3","4","3","5","5","1","1","1","1","3","3","2","1","2","1","1","2","1","1","1","1","3","1","1","4","3","2","4","5","2","3","",""
"2023/11/10 7:55:44 PM GMT-3","BIBLIOTECONOMIA","","","","","POLITICAS DE INFORMACAO","","3","2","3","3","3","4","4","2","3","2","4","3","2","3","3","3","3","3","3","2","3","3","3","3","3","3","2","2","2","3","3","3","3","2","2","2","2","3","3","2","2","3","3","",""
"2023/11/10 7:58:57 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","3","3","3","3","3","2","4","4","4","4","4","4","2","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","3","4","",""
"2023/11/10 8:00:37 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","PESQUISA ORIENTADA NO AMBIENTE ESCOLAR E COMUNITÁRIO I","","","","","3","4","4","4","4","3","4","3","3","2","3","3","3","4","4","4","4","3","4","4","3","4","4","4","4","4","4","4","4","4","4","3","3","4","3","3","3","4","4","4","4","4","3","",""
"2023/11/10 8:00:39 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","INTRODUÇÃO A LIBRAS","","","","","4","2","1","2","1","4","2","2","2","4","2","2","2","2","2","1","1","3","4","3","2","1","1","3","3","2","3","3","1","2","3","3","2","2","2","2","4","3","2","4","5","2","2","",""
"2023/11/10 8:05:02 PM GMT-3","BIBLIOTECONOMIA","","","","","SERVICO DE REFERENCIA E INFORMACAO","","3","4","4","4","4","3","3","3","4","4","4","4","3","4","4","4","4","4","4","4","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",""
"2023/11/10 8:05:31 PM GMT-3","BIBLIOTECONOMIA","","","","","PUBLICACOES DIGITAIS","","3","3","3","3","3","4","4","3","2","2","4","3","2","3","3","3","3","3","3","3","2","3","3","3","2","2","2","2","2","3","3","3","3","2","3","2","2","3","2","2","2","3","3","",""
"2023/11/10 8:06:19 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","LINGUAGEM E CONHECIMENTO IV","","","","","4","3","4","4","4","4","3","3","4","4","4","4","3","4","4","5","4","4","4","4","3","4","4","4","4","4","4","4","4","4","3","4","3","4","4","4","4","2","3","3","4","4","4","",""
"2023/11/10 8:07:19 PM GMT-3","FÍSICA","","","","","","FISICA MODERNA I","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","3","1","1","2","2","",""
"2023/11/10 8:08:57 PM GMT-3","BIBLIOTECONOMIA","","","","","POLITICAS DE INFORMACAO","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",""
"2023/11/10 8:16:03 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","ESTUDOS TEORICO-PRATICOS DA ALFABETIZACAO EM LINGUA MATERNA III","","","","","2","4","4","4","4","2","4","2","4","3","4","4","2","3","4","4","4","4","4","3","4","4","4","3","3","4","3","4","4","4","4","4","3","4","4","4","3","3","3","3","3","4","4","",""
"2023/11/10 8:22:27 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","ALFABETIZACAO E LETRAMENTO EM CIENCIAS E MATEMATICA V","","","","","3","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","","Achei que os prazo deveria vim de acordo com a capacidade de entregamos os trabalhos, eu tiver algumas dificuldade em entender alguns conteúdos."
"2023/11/10 8:26:38 PM GMT-3","CIÊNCIAS BIOLÓGICAS","ANIMAIS PROTOSTÔMIOS ECDISOZOÁRIOS","","","","","","1","1","5","1","1","2","1","1","4","1","1","1","1","4","4","2","5","5","5","4","4","1","3","1","4","4","4","1","4","2","4","4","1","1","3","4","4","4","3","4","5","4","4","Eu como docente não  tive o lugar adequado pra eu estudar e um professor que pode conpri a minha necessidade de deficiência e foi dito no edital que ia ter todos os direitos necessários ",""
"2023/11/10 8:29:53 PM GMT-3","FÍSICA","","","","","","INSTRUM. PARA O ENSINO DA FISICA II","3","3","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","1","1","1","2","",""
"2023/11/10 8:33:01 PM GMT-3","CIÊNCIAS BIOLÓGICAS","ANIMAIS PROTOSTÔMIOS ECDISOZOÁRIOS","","","","","","2","4","3","3","3","2","3","2","2","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","2","3","3","3","2","3","3","3","3","1","2","3","3","3","3","3","4","3","3","","Tem que tem um professor que atenda as pessoas com deficiência "
"2023/11/10 8:35:58 PM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","LINGUAGEM E CONHECIMENTO IV","","","","","2","2","2","1","3","2","2","2","1","2","2","2","1","2","2","4","4","5","5","2","2","3","2","2","2","3","2","4","4","1","2","2","3","2","3","4","3","2","2","2","3","4","4","","aulas online com professores nos ajudaria muito, encontro presencial com professores das disciplinas tambem seria uma forma de melhor aprendizagem"
"2023/11/10 8:37:06 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","5","4","4","",""
"2023/11/10 8:38:01 PM GMT-3","CIÊNCIAS BIOLÓGICAS","MORFOFISIOLOGIA VEGETAL","","","","","","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","4","3","3","2","3","3","3","3","3","3","3","2","3","4","3","3","3","3","2","3","2","3","3","3","Precisa explicar mais a disciplina ","Eu como aluno deficiente preciso de um professor pra me aj"
"2023/11/10 8:40:43 PM GMT-3","CIÊNCIAS BIOLÓGICAS","METODOLOGIA DO ENSINO DE CIÊNCIAS","","","","","","3","3","4","4","3","3","3","1","2","3","3","3","3","3","3","2","3","3","3","3","2","2","2","2","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","3","4","3","3","",""
"2023/11/10 8:43:08 PM GMT-3","CIÊNCIAS BIOLÓGICAS","SOCIEDADE E MEIO AMBIENTE","","","","","","3","3","3","4","3","2","2","2","3","2","2","3","3","3","2","4","3","4","4","3","3","3","2","2","2","2","2","2","2","4","3","3","3","3","2","2","3","3","3","3","4","3","3","",""
"2023/11/10 8:45:02 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","FONETICA E FONOLOGIA","","","","4","3","3","4","4","4","4","3","3","3","3","4","3","3","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","4","3","3","3","2","3","3","3","3","2","3","3","3","3","Ainda falta algumas coisas para melhorar, uma internet só para a turma,  uma sala também.",""
"2023/11/10 8:46:24 PM GMT-3","BIBLIOTECONOMIA","","","","","EDUCACAO DE USUARIOS","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/10 8:51:03 PM GMT-3","BIBLIOTECONOMIA","","","","","POLITICAS DE INFORMACAO","","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/10 8:56:24 PM GMT-3","BIBLIOTECONOMIA","","","","","SERVICO DE REFERENCIA E INFORMACAO","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/10 8:56:48 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","OFICINA DE DIDATIZACAO DE GENEROS TEXTUAIS","","","","4","3","4","4","3","4","4","3","3","3","3","3","3","3","3","4","4","4","4","3","3","2","2","2","3","4","3","3","3","3","3","3","2","2","3","3","3","3","3","3","4","3","3","Hoje já está melhor,  logo no começo do curso tivemos dificuldades para entrar na plataforma,  quase não pegava internet no polo.","Hoje o polo atende nossas necessidades."
"2023/11/10 9:01:29 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","3","2","4","4","3","3","3","3","3","3","3","3","3","3","3","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","N.D","N.D"
"2023/11/10 9:02:36 PM GMT-3","BIBLIOTECONOMIA","","","","","PUBLICACOES DIGITAIS","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/10 9:04:04 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","3","3","3","3","3","3","3","2","2","3","2","3","3","3","3","3","3","3","3","3","3","4","3","3","N.D","N.D"
"2023/11/10 9:04:29 PM GMT-3","BIBLIOTECONOMIA","","","","","SERVICO DE REFERENCIA E INFORMACAO","","3","3","3","3","3","4","4","3","3","2","4","4","2","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","3","3","3","3","2","3","2","2","3","3","2","2","3","3","",""
"2023/11/10 9:19:50 PM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","3","4","5","5","4","4","4","4","4","4","4","4","3","4","4","5","5","5","5","4","3","4","4","4","4","3","3","4","4","4","4","4","4","4","4","3","1","2","3","1","2","3","2","",""
"2023/11/10 9:24:23 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","3","4","4","3","3","4","4","4","4","4","4","3","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","3","4","2","2","3","3","",""
"2023/11/10 9:30:41 PM GMT-3","CIÊNCIAS BIOLÓGICAS","SOCIEDADE E MEIO AMBIENTE","","","","","","4","3","4","3","3","4","4","4","4","4","4","4","3","4","3","4","4","2","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","4","2","4","2","4","4","",""
"2023/11/10 9:57:10 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","3","4","4","4","4","2","4","4","3","2","4","4","2","4","4","3","4","5","5","4","4","2","3","3","2","4","4","4","2","2","4","4","4","2","3","3","2","1","3","2","2","2","2","A disciplina em si é muito boa. O professor é muito bom e as explicações, mesmo a distância são bem esclarecedoras.","Trabalhos mais dinâmicos. Encontros presenciais com os professores ao menos uma vez em cada disciplina seria de suma importância. Pois a maioria percorre muitos km de distância e faz gastos pra ir ao polo para 2 horas ou 2 e 30 de explicação básica, muitas das vezes fazer uma atividade que pode ser feita de casa com orientação de professores e tutores."
"2023/11/10 10:32:55 PM GMT-3","LETRAS LINGUA PORTUGUESA","","","OFICINA DE DIDATIZACAO DE GENEROS TEXTUAIS","","","","3","3","4","4","4","4","4","2","2","4","4","4","4","1","4","4","4","4","4","4","3","4","4","2","3","4","2","4","2","2","3","3","3","2","2","4","2","2","4","2","3","4","4","gostaria que as disciplinas que são oficinas os professores fossem masi presentes, mesmo que na grade nao exiga a presença fisica do professor seria otimo tê-los em sala de aula consco e tambem a presença deles via plataforma, me sinto só nesse disciplina, nem sei se irei passar, falta feedback do professor","melhorar a internet e mais materiais disponiveis na biblioteca para complementar as atividades e disciplinas"
"2023/11/11 1:50:11 AM GMT-3","MATEMÁTICA","","","","GEOMETRIA II","","","4","4","4","3","4","4","4","3","3","4","4","4","3","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","3","3","4","4","4","4","4","2","2","3","3","2","2","1","3","",""
"2023/11/11 4:45:23 AM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","ALFABETIZACAO E LETRAMENTO EM CIENCIAS E MATEMATICA V","","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/11 6:52:18 AM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","PESQUISA ORIENTADA NO AMBIENTE ESCOLAR E COMUNITÁRIO I","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/11 6:54:23 AM GMT-3","CIÊNCIAS BIOLÓGICAS","METODOLOGIA DO ENSINO DE CIÊNCIAS","","","","","","2","3","2","5","3","1","3","2","2","2","3","3","3","2","3","1","2","5","5","1","1","1","1","1","1","2","1","1","2","1","1","1","1","1","2","2","1","1","1","1","5","1","1","",""
"2023/11/11 6:56:42 AM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","INTRODUÇÃO A LIBRAS","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/11 6:59:53 AM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","LINGUAGEM E CONHECIMENTO IV","","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/11 7:03:04 AM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","COMPREENSAO E EXPLICACAO DOS PROCESSOS DE DESENVOLVIMENTO E DA APRENDIZAGEM I","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/11 7:06:33 AM GMT-3","LICENCIATURA INTEGRADA EM CIÊNCIAS, LINGUAGENS E MATEMÁTICA","","ESTUDOS TEORICO-PRATICOS DA ALFABETIZACAO EM LINGUA MATERNA III","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/11 7:07:02 AM GMT-3","CIÊNCIAS BIOLÓGICAS","ANIMAIS PROTOSTÔMIOS ECDISOZOÁRIOS","","","","","","4","3","4","3","3","4","4","4","4","3","4","4","4","4","4","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","2","4","4","",""
"2023/11/11 7:45:54 AM GMT-3","FÍSICA","","","","","","FISICA COMPUTACIONAL I","4","4","5","5","4","4","1","3","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","2","4","4","curso bem dinamico ,entre outras dificuldades com instalar app no celular","laboratorio no polo"
"2023/11/11 8:03:52 AM GMT-3","FÍSICA","","","","","","LABORATORIO BASICO III","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","2","4","4","curso otimo tem muita atencao do tutor","falta de laboratorio no polo dificulta a execucao de experimentos e pesquisas"
"2023/11/11 8:14:21 AM GMT-3","FÍSICA","","","","","","INSTRUM. PARA O ENSINO DA FISICA II","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","3","4","4","3","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","curso com boa aceitacao no conteudo . boa explicacao","falta laboratorio no polo"
"2023/11/11 8:23:10 AM GMT-3","FÍSICA","","","","","","FISICA MODERNA I","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","melhor conteudo ,melhor explicacao , entendimento otimo ,otimo conteudo modlle","falta laboratorio no polo"
"2023/11/11 8:33:08 AM GMT-3","FÍSICA","","","","","","MECANICA CLASSICA I","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","matrial no modlle otima aceitacao e boa explicacao","falta laboratorio no polo"
"2023/11/11 8:49:22 AM GMT-3","LETRAS LINGUA PORTUGUESA","","","FONETICA E FONOLOGIA","","","","3","1","5","5","4","2","3","2","1","4","1","3","2","2","2","5","5","5","5","4","4","4","4","3","2","4","4","4","4","4","4","4","4","4","4","4","2","4","4","1","1","4","4","desenvolvimento de ativididadese matérias didaticos do curso de  letras que nós são apresentados pelos os professores são ótimos.","As bibliotecas e os laboratórios dos polos estão sucateados."
